index,entity_value
0,500.0 gram
1,1.0 cup
2,0.709 gram
3,0.709 gram
4,1400 milligram
5,1400 milligram
6,1400 milligram
7,1400 milligram
8,1400 milligram
9,1400 milligram
10,30.0 kilogram
11,10 kilogram to 15 kilogram
12,3.53 ounce
13,3.53 ounce
14,53 ounce
15,100 gram
16,200 gram
17,1 kilogram
18,200 gram
19,200 gram
20,200 gram
21,4.0 gallon
22,2.7 gram
23,112 gram
24,4.1 kilogram
25,48.0 volt
26,158.0 gram
27,158.0 gram
28,5000 milligram
29,18.55 gram
30,18.55 gram
31,18.55 gram
32,18.55 gram
33,18.55 gram
34,50.0 gram
35,26.0 gram
36,800.0 watt
37,36.0 volt
38,330.0 pound
39,31.0 ounce
40,0.35 ounce
41,35.0 gram
42,150.0 watt
43,150.0 watt
44,30.0 watt
45,30.0 watt
46,15.5 gram
47,200.0 gram
48,250.0 watt
49,10.0 ounce
50,0.8 kilogram
51,169.0 gram
52,10.0 gram
53,7.0 gram
54,750.0 gram
55,160.0 gram
56,270.0 gram
57,500 gram
58,1 kilogram
59,10 kilogram
60,1 kilogram
61,2.2 pound
62,60.0 watt
63,30.0 millilitre
64,30.0 millilitre
65,30.0 millilitre
66,30.0 millilitre
67,30.0 millilitre
68,2 ounce
69,8.1 gram
70,2 kilogram
71,10 kilogram
72,500.0 kilogram
73,200.0 gram
74,200.0 gram
75,200.0 gram
76,200.0 gram
77,100.0 gram
78,200.0 gram
79,5.0 kilogram
80,60.0 pound
81,3.0 cubic foot
82,227 gram
83,100 gram
84,190.0 gram
85,100.0 gram
86,600 milligram
87,3.2 gram
88,6.5 gram
89,160.0 gram
90,42.0 gram
91,26.0 gram
92,0.55 watt
93,50.0 milligram
94,10.0 kilogram
95,49.0 watt
96,500 milligram
97,500 milligram
98,16.0 gram
99,8 kilogram
100,500.0 millilitre
101,3.0 pound
102,750.0 milligram
103,8.0 gram
104,23.0 gram
105,9.8 gram
106,198.0 pound
107,9.0 kilogram
108,2.5 kilogram
109,50.0 gram
110,10.0 millilitre
111,200.0 millilitre
112,4.1 gram
113,9.2 gram
114,600.0 gram
115,20.0 kilogram
116,13.0 gram
117,13.0 gram
118,1000.0 milligram
119,264.0 gram
120,34 kilogram
121,72.57 gram
122,100 gram
123,180 gram
124,180 gram
125,180 gram
126,180 gram
127,180 gram
128,33 gram
129,8.0 gram
130,1.77 ounce
131,350.0 gram
132,567.0 gram
133,567.0 gram
134,567.0 gram
135,567.0 gram
136,567.0 gram
137,567.0 gram
138,60.0 watt
139,"[100.0, 240.0] volt"
140,25.0 millilitre
141,2.4 kilogram
142,25 kilogram
143,50.0 kilogram
144,263.0 gram
145,250.0 gram
146,250.0 gram
147,200 gram
148,1.8 kilogram
149,800.0 gram
150,24.8 gram
151,4.0 kilogram
152,"[8.0, 12.0] fluid ounce"
153,3.59 kilogram
154,12.0 volt
155,7 gram
156,9.8 gram
157,16.0 fluid ounce
158,3.8 gram
159,0.45 kilogram
160,70.5 pound
161,12.0 volt
162,12.0 volt
163,12.0 volt
164,12.0 volt
165,1.87 pound
166,125.0 gram
167,21.0 gram
168,30.0 gram
169,"[85.0, 265.0] volt"
170,4.0 fluid ounce
171,4.0 fluid ounce
172,4.0 fluid ounce
173,0.7 millilitre
174,679.0 milligram
175,4.0 fluid ounce
176,500.0 gram
177,15.0 kilogram
178,8.0 watt
179,175.0 kilogram
180,175.0 kilogram
181,1.0 gram
182,100.0 watt
183,100.0 watt
184,100.0 watt
185,100.0 watt
186,460.0 gram
187,3.0 watt
188,23.0 kilogram
189,3.0 millilitre
190,300.0 gram
191,100.0 gram
192,22.0 gram
193,3.0 gram
194,3.0 gram
195,3.0 gram
196,2.0 ton
197,15 kilogram
198,14.8 gram
199,4.4 pound
200,4.4 pound
201,350 pound
202,4.5 gram
203,4.5 gram
204,1977.0 decilitre
205,120.0 gram
206,100.0 millilitre
207,100.0 millilitre
208,100.0 millilitre
209,40.0 gram
210,0.0 gram
211,40.0 gram
212,60.0 gram
213,60.0 gram
214,390 gram
215,"[25.0, 30.0] pound"
216,120 kilogram
217,5.0 gram
218,5.0 gram
219,2.55 cubic inch
220,100 gram
221,100.0 gram
222,100.0 gram
223,2.6 gram
224,7.9 kilogram
225,150.0 kilogram
226,0.9 kilogram
227,7.0 volt
228,"[175.0, 265.0] volt"
229,2.82 ounce
230,16.0 gram
231,132.0 gram
232,77.0 gram
233,77.0 gram
234,100.0 gram
235,100.0 gram
236,25 gram
237,25 gram
238,25 gram
239,150 gram
240,150 gram
241,150 gram
242,150 gram
243,150 gram
244,150 gram
245,200 gram
246,2460.0 gram
247,7 kilogram
248,6.0 ton
249,2.5 kilogram
250,60.0 watt
251,21.6 watt
252,240.0 volt
253,1300.0 gram
254,120.0 volt
255,22.0 gram
256,22.0 gram
